"ID","Arthromyces matolae 10171TJB","Arthromyces matolae 10185TJB","Asterophora lycoperdoides","Asterophora parasitica","Blastosporella zonata","Calocybe carnea","Calocybe cyanea","Calocybe gangraenosa","Hypsizygus ulmarius","Lyophyllum decastes","Lyophyllum semitale","Lyophyllum shimeji","Myochromella boudieri","Sphagnurus paluster","Tephrocybe rancida Trssc25","Tephrocybe rancida Trssc53","Tephrocybe sp1. 10521TJB","Tephrocybe sp2. 9174TJB","Tephrocybe sp3. HNL501043","Tephrocybe sp4. 9980TJB","Tephrocybe sp5. DS06151","Termitomyces bulborhizus","Termitomyces cryptogamus","Termitomyces cryptogamus T132","Termitomyces eurrhizus","Termitomyces fragilis","Termitomyces heimii","Termitomyces microcarpus","Termitomyces reticulatus","Termitomyces robustus","Termitomyces sagittiformis","Termitomyces sp. DKA19","Termitomyces sp. DKA64","Termitomyces sp. JCM13351","Termitomyces sp. K1Ag","Termitomyces sp. MG145","Termitomyces sp. MG16","Termitomyces sp. Mi166","Termitomyces sp. Mx157","Termitomyces sp. Od127","Termitomyces sp. T108a","Termitomyces sp. T27","Termitomyces sp. T70a","Termitomyces striatus","Termitomyces titanicus","Tricholomella constricta"
"GT4","2","3","4","4","3","2","2","4","4","4","4","3","4","4","4","2","4","4","4","3","3","4","2","2","0","2","2","0","3","3","4","3","4","4","1","3","4","4","4","1","3","4","2","2","3","4"
"GT48","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2"
"GT49","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","0","0","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","1","1","1","1","1","1","1","1"
"GT5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GT50","0","0","1","1","1","0","1","0","1","1","1","1","1","1","0","0","1","0","1","1","0","0","1","2","0","0","1","1","0","1","1","0","1","1","1","0","0","1","0","0","1","1","1","1","1","1"
"GT57","1","1","1","1","1","1","1","1","1","1","0","1","2","1","3","1","2","1","1","1","2","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","2","2","1","0","0","1","1","2","1"
"GT58","0","0","1","1","1","0","0","0","1","1","1","0","0","1","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GT59","0","0","1","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1"
"GT66","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","2","1","1","1","1","1","1","1","1","1","0","1","1","1","1","2","1"
"GT69","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","0","1","1","1","1","0","1","1","1","1","1","1","2","1","0","1","1","1","1","1"
"GT76","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0"
"GT8","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","2","1","1","1"
"GT90","1","2","2","3","2","1","1","2","4","3","1","2","4","4","3","3","3","3","3","2","4","1","2","3","1","1","4","3","2","3","5","2","4","2","3","1","0","2","1","4","1","4","2","4","4","1"
"PL1","2","2","0","0","3","4","2","2","1","4","0","0","3","6","4","4","2","3","3","3","0","1","2","1","1","0","1","2","2","0","2","1","1","2","2","2","0","1","2","1","1","1","2","2","2","3"
"PL14","1","2","3","3","2","2","0","4","2","4","4","3","3","5","6","4","3","3","4","3","3","3","2","2","2","2","3","2","3","2","3","1","3","2","2","3","2","2","2","3","2","2","3","2","4","4"
"PL26","1","0","0","0","0","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1"
"PL3","0","0","0","0","0","0","1","0","0","3","0","0","1","0","3","3","0","1","1","0","0","4","0","1","1","1","1","1","1","2","2","0","2","2","2","1","1","2","2","0","0","2","0","3","2","1"
"PL30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PL4","1","1","0","0","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","2","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","2","1","1","0","1","1","1","1","1"
"PL8","3","2","2","2","2","2","2","3","2","1","2","1","3","3","4","3","4","4","3","2","2","3","2","3","1","3","3","2","3","3","3","3","3","3","0","3","3","3","2","0","1","4","2","2","3","1"
"total","233","246","189","148","232","164","180","202","189","277","266","200","290","271","375","312","309","287","250","250","284","233","206","191","146","144","173","166","189","204","223","198","233","200","213","190","154","251","210","150","165","245","176","216","251","219"
